Region1,Region2,GeoDist_km,DeltaPfPR,GenDist_Nei
Bukedi,Teso,84.81712307456013,0.12006232100000003,1.4500743526214106e-4
Bukedi,Tooro,395.1617981448951,0.09563098899999997,0.0018565293897979962
Bukedi,West Nile,356.7402704957451,1.5595599999995713e-4,8.750931151154845e-4
Bunyoro,Busoga,260.2096088437076,0.057544977,0.0010035888046305964
Bunyoro,South Buganda,186.61584836572956,0.130360335,1.393299692559685e-5
Bunyoro,North Buganda,160.36358731719181,0.070978776,1.1578510815662957e-5
Bunyoro,Kampala,175.7843157965482,0.174699828,2.131577314727809e-6
Bunyoro,Karamoja,334.53163546286527,0.126760274,1.940041417283087e-4
Bunyoro,Kigezi,297.30285097336036,0.173956834,0.00176455772488695
Bunyoro,Lango,167.4551064367286,0.11039844199999999,0.0011052484642223035
Bunyoro,Teso,255.25141873143718,0.113035679,2.064309901356375e-4
Bunyoro,Tooro,153.52341054658666,0.102657631,2.77758162241075e-4
Bunyoro,West Nile,148.50162549142024,0.0071825979999999845,1.004154273643333e-5
Busoga,South Buganda,187.21260980376195,0.187905312,0.0012541696417779277
Busoga,North Buganda,114.04900520101542,0.128523753,7.994882987944886e-4
Busoga,Kampala,103.17523357792079,0.232244805,9.131745691308208e-4
Busoga,Karamoja,234.80820336752015,0.06921529700000001,0.0020810090456374916
Busoga,Kigezi,428.083884270463,0.231501811,0.005436887728761476
Busoga,Lango,180.63070163996014,0.05285346499999999,2.4491720389060057e-6
Busoga,Teso,130.39569460158137,0.055490702,2.995607404071823e-4
Busoga,Tooro,347.95790458864207,0.160202608,0.0023385274537908213
Busoga,West Nile,355.0275278572664,0.06472757499999998,0.0012145266236508706
South Buganda,Teso,275.247156991229,0.243396014,3.2764203491576413e-4
South Buganda,Tooro,187.09854223406901,0.027702703999999995,1.6726204642643507e-4
South Buganda,West Nile,331.897321518158,0.12317773700000001,3.179271780521688e-7
North Buganda,South Buganda,94.65202208097612,0.059381559,5.091478072319505e-5
North Buganda,Teso,181.0431114716786,0.184014455,1.2022502689029848e-4
North Buganda,Tooro,234.02176398564103,0.031678855000000006,4.0277954914882144e-4
North Buganda,West Nile,283.83605927928966,0.06379617800000001,4.318587209366893e-5
Kampala,South Buganda,94.50965325121481,0.04433949300000001,2.6964126708807314e-5
Kampala,North Buganda,15.472946015370297,0.10372105200000001,3.7741766687512092e-6
Kampala,Karamoja,290.75514751953597,0.301460102,2.3681164664200946e-4
Kampala,Kigezi,329.65982036316774,7.429939999999968e-4,0.0018894640017247065
Kampala,Lango,170.55554708217545,0.28509827,0.0010102552904622771
Kampala,Teso,181.2549607151183,0.287735507,1.6660559257241663e-4
Kampala,Tooro,245.09245872836306,0.072042197,3.2856242457691314e-4
Kampala,West Nile,298.6389412795244,0.16751723000000002,2.142618080372553e-5
