Region1,Region2,GenDist,GeoDist_km
Lango,West Nile,0.0013261276655269615,191.64171776638983
North Buganda,South Buganda,5.091478072319505e-5,94.65202208097612
North Buganda,Teso,1.2022502689029848e-4,181.0431114716786
North Buganda,Tooro,4.0277954914882144e-4,234.02176398564103
North Buganda,West Nile,4.318587209366893e-5,283.83605927928966
South Buganda,Teso,3.2764203491576413e-4,275.247156991229
South Buganda,Tooro,1.6726204642643507e-4,187.09854223406901
South Buganda,West Nile,3.179271780521688e-7,331.897321518158
Teso,Tooro,9.633265198318845e-4,387.036386658037
Teso,West Nile,3.075444434790628e-4,292.3928810240065
Tooro,West Nile,1.821658350566567e-4,273.8270843136336
